k,hit_rate,model,condition
1,0.64,benzonase,control
2,0.72,benzonase,control
3,0.76,benzonase,control
4,0.8,benzonase,control
5,0.82,benzonase,control
6,0.86,benzonase,control
7,0.88,benzonase,control
8,0.92,benzonase,control
9,0.92,benzonase,control
10,0.94,benzonase,control
11,0.94,benzonase,control
12,0.96,benzonase,control
13,0.96,benzonase,control
14,0.96,benzonase,control
15,0.96,benzonase,control
16,0.96,benzonase,control
17,0.98,benzonase,control
18,0.98,benzonase,control
19,0.98,benzonase,control
20,1.0,benzonase,control
21,1.0,benzonase,control
22,1.0,benzonase,control
23,1.0,benzonase,control
24,1.0,benzonase,control
25,1.0,benzonase,control
